date,gaming,isPartial
2024-12-16 00:00:00,86,False
2024-12-16 01:00:00,87,False
2024-12-16 02:00:00,97,False
2024-12-16 03:00:00,76,False
2024-12-16 04:00:00,78,False
2024-12-16 05:00:00,59,False
2024-12-16 06:00:00,45,False
2024-12-16 07:00:00,46,False
2024-12-16 08:00:00,46,False
2024-12-16 09:00:00,50,False
2024-12-16 10:00:00,51,False
2024-12-16 11:00:00,56,False
2024-12-16 12:00:00,59,False
2024-12-16 13:00:00,60,False
2024-12-16 14:00:00,59,False
2024-12-16 15:00:00,56,False
2024-12-16 16:00:00,62,False
2024-12-16 17:00:00,66,False
2024-12-16 18:00:00,71,False
2024-12-16 19:00:00,69,False
2024-12-16 20:00:00,70,False
2024-12-16 21:00:00,76,False
2024-12-16 22:00:00,76,False
2024-12-16 23:00:00,83,False
2024-12-17 00:00:00,91,False
2024-12-17 01:00:00,79,False
2024-12-17 02:00:00,73,False
2024-12-17 03:00:00,86,False
2024-12-17 04:00:00,71,False
2024-12-17 05:00:00,57,False
2024-12-17 06:00:00,46,False
2024-12-17 07:00:00,49,False
2024-12-17 08:00:00,42,False
2024-12-17 09:00:00,51,False
2024-12-17 10:00:00,52,False
2024-12-17 11:00:00,52,False
2024-12-17 12:00:00,60,False
2024-12-17 13:00:00,57,False
2024-12-17 14:00:00,60,False
2024-12-17 15:00:00,57,False
2024-12-17 16:00:00,59,False
2024-12-17 17:00:00,67,False
2024-12-17 18:00:00,68,False
2024-12-17 19:00:00,70,False
2024-12-17 20:00:00,63,False
2024-12-17 21:00:00,81,False
2024-12-17 22:00:00,77,False
2024-12-17 23:00:00,78,False
2024-12-18 00:00:00,92,False
2024-12-18 01:00:00,96,False
2024-12-18 02:00:00,85,False
2024-12-18 03:00:00,87,False
2024-12-18 04:00:00,68,False
2024-12-18 05:00:00,63,False
2024-12-18 06:00:00,44,False
2024-12-18 07:00:00,46,False
2024-12-18 08:00:00,45,False
2024-12-18 09:00:00,51,False
2024-12-18 10:00:00,48,False
2024-12-18 11:00:00,55,False
2024-12-18 12:00:00,54,False
2024-12-18 13:00:00,56,False
2024-12-18 14:00:00,58,False
2024-12-18 15:00:00,57,False
2024-12-18 16:00:00,60,False
2024-12-18 17:00:00,63,False
2024-12-18 18:00:00,69,False
2024-12-18 19:00:00,68,False
2024-12-18 20:00:00,65,False
2024-12-18 21:00:00,74,False
2024-12-18 22:00:00,72,False
2024-12-18 23:00:00,79,False
2024-12-19 00:00:00,85,False
2024-12-19 01:00:00,87,False
2024-12-19 02:00:00,84,False
2024-12-19 03:00:00,79,False
2024-12-19 04:00:00,64,False
2024-12-19 05:00:00,59,False
2024-12-19 06:00:00,45,False
2024-12-19 07:00:00,57,False
2024-12-19 08:00:00,46,False
2024-12-19 09:00:00,47,False
2024-12-19 10:00:00,53,False
2024-12-19 11:00:00,53,False
2024-12-19 12:00:00,57,False
2024-12-19 13:00:00,57,False
2024-12-19 14:00:00,57,False
2024-12-19 15:00:00,55,False
2024-12-19 16:00:00,64,False
2024-12-19 17:00:00,67,False
2024-12-19 18:00:00,69,False
2024-12-19 19:00:00,68,False
2024-12-19 20:00:00,66,False
2024-12-19 21:00:00,66,False
2024-12-19 22:00:00,68,False
2024-12-19 23:00:00,77,False
2024-12-20 00:00:00,87,False
2024-12-20 01:00:00,82,False
2024-12-20 02:00:00,88,False
2024-12-20 03:00:00,73,False
2024-12-20 04:00:00,66,False
2024-12-20 05:00:00,56,False
2024-12-20 06:00:00,50,False
2024-12-20 07:00:00,48,False
2024-12-20 08:00:00,50,False
2024-12-20 09:00:00,57,False
2024-12-20 10:00:00,56,False
2024-12-20 11:00:00,57,False
2024-12-20 12:00:00,57,False
2024-12-20 13:00:00,57,False
2024-12-20 14:00:00,64,False
2024-12-20 15:00:00,63,False
2024-12-20 16:00:00,63,False
2024-12-20 17:00:00,66,False
2024-12-20 18:00:00,68,False
2024-12-20 19:00:00,67,False
2024-12-20 20:00:00,71,False
2024-12-20 21:00:00,68,False
2024-12-20 22:00:00,74,False
2024-12-20 23:00:00,77,False
2024-12-21 00:00:00,86,False
2024-12-21 01:00:00,86,False
2024-12-21 02:00:00,88,False
2024-12-21 03:00:00,84,False
2024-12-21 04:00:00,68,False
2024-12-21 05:00:00,62,False
2024-12-21 06:00:00,52,False
2024-12-21 07:00:00,46,False
2024-12-21 08:00:00,56,False
2024-12-21 09:00:00,60,False
2024-12-21 10:00:00,64,False
2024-12-21 11:00:00,66,False
2024-12-21 12:00:00,65,False
2024-12-21 13:00:00,71,False
2024-12-21 14:00:00,65,False
2024-12-21 15:00:00,66,False
