date,gaming,isPartial
2024-12-21 16:00:00,65,False
2024-12-21 17:00:00,60,False
2024-12-21 18:00:00,67,False
2024-12-21 19:00:00,64,False
2024-12-21 20:00:00,60,False
2024-12-21 21:00:00,58,False
2024-12-21 22:00:00,55,False
2024-12-21 23:00:00,57,False
2024-12-22 00:00:00,69,False
2024-12-22 01:00:00,81,False
2024-12-22 02:00:00,76,False
2024-12-22 03:00:00,82,False
2024-12-22 04:00:00,71,False
2024-12-22 05:00:00,61,False
2024-12-22 06:00:00,50,False
2024-12-22 07:00:00,46,False
2024-12-22 08:00:00,46,False
2024-12-22 09:00:00,53,False
2024-12-22 10:00:00,60,False
2024-12-22 11:00:00,64,False
2024-12-22 12:00:00,69,False
2024-12-22 13:00:00,69,False
2024-12-22 14:00:00,69,False
2024-12-22 15:00:00,61,False
2024-12-22 16:00:00,62,False
2024-12-22 17:00:00,61,False
2024-12-22 18:00:00,62,False
2024-12-22 19:00:00,65,False
2024-12-22 20:00:00,68,False
2024-12-22 21:00:00,64,False
2024-12-22 22:00:00,73,False
2024-12-22 23:00:00,77,False
2024-12-23 00:00:00,100,True
